poi_id,name,lat,lon,open_min,close_min,stay_min,province,city,description,time_str,airport
1001,乌鲁木齐市区,43.798443,87.612784,0,1440,60,新疆,乌鲁木齐,乌鲁木齐，作为新疆维吾尔自治区的首府，是中国西北部的一个重要城市，也是中亚地区的重要交通枢纽。\n\n这座城市历史悠久，曾是古丝绸之路上的重要驿站，地处天山山脉北麓，自然风光壮丽。这里的居民包括维吾尔族、汉族、哈萨克族等多个民族。乌鲁木齐是连接中国与中亚以及更广阔地区的重要桥梁。,0:00-23:59,乌鲁木齐地窝堡国际机场
1002,新疆维吾尔自治区博物馆,43.819511,87.583992,630,1080,90,新疆,乌鲁木齐,新疆维吾尔自治区博物馆是位于中国新疆维吾尔自治区首府乌鲁木齐市的一座重要博物馆，博物馆的藏品包括了广泛的历史和文化展品，其中包括古代文物、考古发现、民俗展品、绘画、雕塑、手工艺品、纺织品、陶瓷、石刻和历史文献等。\n\n这些展品反映了新疆地区不同历史时期和不同民族的文化遗产。(周一不开放),10:30-18:00,乌鲁木齐地窝堡国际机场
1003,阿勒泰市区,47.827,88.13243,0,1440,60,新疆,阿勒泰,阿勒泰坐落在阿尔泰山脉的怀抱之中，这是中国境内最大的山脉之一，也是亚洲最美丽的高山之一。\n\n这里被誉为“万山之园”，这里有美丽的喀纳斯湖、禾木村和布尔津等诸多美景，这里不止是雪之故乡，也是文学胜地。,0:00-23:59,阿勒泰雪都机场
1004,禾木村,48.568562,87.432907,510,1200,120,新疆,阿勒泰,禾木村，位于中国新疆阿勒泰地区，被誉为中国最美的乡村之一。这个小村庄坐落在神秘的阿尔泰山脉中，被浓密的原始森林和雄伟的雪山环绕。村内的房屋多为传统的图瓦木屋，简朴而充满原始风味。\n\n禾木村是图瓦人的生活居住地，他们以放牧为生，保持着传统的生活方式和习俗。来禾木体验的远离城市喧嚣、亲近自然和体验原始生活方式。,08:30-20:00,布尔津喀纳斯机场
1005,禾木河,48.571382,87.431081,0,1440,150,新疆,阿勒泰,禾木河，位于中国新疆北部的喀纳斯景区内，是一条穿越禾木村的宁静而清澈的河流。\n\n禾木河发源于阿尔泰山脉，沿途经过密林和草地，最终汇入喀纳斯湖。禾木河不仅是一条美丽的河流，更是当地生态系统的重要组成部分。跟随村民一起，沿河徒步，依河而居。(进村时间:22:00之前最佳旅游时间是6月和9月，拍摄最好的时间是中午到傍晚。）,0:00-23:59,布尔津喀纳斯机场
1006,国际大巴扎,43.780083,87.618042,630,1380,90,新疆,乌鲁木齐,乌鲁木齐国际大巴扎是中国新疆维吾尔自治区乌鲁木齐市的一个著名旅游目的地和购物中心。巴扎以丰富的购物体验而闻名，游客可以在这里购买到各种各样的商品，包括传统的维吾尔族手工艺品、地毯、丝绸制品、珠宝、民族服饰、音乐乐器和当地美食等。\n\n这里也是购买特色伊斯兰食品和香料的好地方。,10:30-23:00,乌鲁木齐地窝堡国际机场
1007,喀纳斯湖,48.712438,87.025867,0,1440,180,新疆,阿勒泰,喀纳斯湖，坐落于中国新疆北部的阿勒泰山区，是一处著名的自然风景区，以其令人惊叹的自然美景和神秘的传说而闻名。\n\n深山中的湖泊被群山环抱，湖泊周围的景致多变，周边居住着图瓦人，一个保持着传统生活方式和文化的少数民族。这里不仅是自然爱好者和摄影师的天堂，也是那些寻求心灵宁静与自然和谐共存体验的旅行者的理想之地。(具体营业时间以当地为准),0:00-23:59,布尔津喀纳斯机场
1008,可可托海镇,47.220921,89.811783,630,1110,120,新疆,阿勒泰,可可托海，位于中国新疆北部阿勒泰地区，是一个著名的自然风景区，也是国家地质公园。这个名字在蒙古语中意为“蓝色的河流”，其得名源于此地的一条美丽的河流。\n\n可可托海不仅拥有丰富的自然景观，还是一个重要的地质科学研究基地。这里的地质结构复杂，拥有各种矿物和岩石，对研究地球的早期历史具有重要意义。,10:30-18:30\n,富蕴可可托海机场
1009,S21沙漠公路阿勒泰方向,45.251806,87.406956,0,1440,120,新疆,阿勒泰,"s21高速公路，通常被称为京藏高速，是中国境内最长的高速公路之一，全长约3,890公里。它的路线穿越了中国的西北地区，横跨了多个省份和自治区。\n\n这条高速公路被誉为“通天大道”，因为它连接了中国的首都北京与西藏自治区的拉萨，地貌多样性，为驾车者提供了多种壮丽的自然景观。",0:00-23:59,
1010,赛里木湖,44.60133,81.39222,540,1260,180,新疆,伊犁,赛里木湖，位于中国新疆伊犁哈萨克自治州，被誉为“大西洋的最后一滴眼泪”，是一片位于天山山脉中的高山湖泊。\n\n湖面海拔高达2073米，湖水源于周围的雪山和冰川，因此水质纯净，湖水呈现出独特的蓝色。在赛里木湖还可以感受哈萨克斯祖少数民族的特色文化。（5月到10月，周一至周末:9:00-21:00，关门时间为18:00）\n,9:00-21:00,博乐阿拉山口机场
